Genes	HepG2_MAX
ENSG00000178921	40.4683
ENSG00000241226	0.97383
ENSG00000105656	17.5084
ENSG00000170819	0
ENSG00000230502	0
ENSG00000122068	36.7801
ENSG00000274743	0
ENSG00000269887	0.10506
ENSG00000166262	6.9713
ENSG00000251714	0
ENSG00000100288	20.7069
ENSG00000213221	3.0303
ENSG00000182885	8.3501
ENSG00000223865	0.72451
ENSG00000114988	61.2764
ENSG00000010319	8.8802
ENSG00000215158	6.0146
ENSG00000279326	0.28761
ENSG00000200114	7.1098
ENSG00000270423	0
ENSG00000267384	0
ENSG00000277872	0
ENSG00000280911	0
ENSG00000249987	0
ENSG00000212539	0
ENSG00000254843	0.14625
ENSG00000166106	0.007817
ENSG00000142700	0.073922
ENSG00000275006	0
ENSG00000214922	5.6129
ENSG00000244355	0.26259
ENSG00000007237	3.1856
ENSG00000275489	0.23269
ENSG00000231248	0
ENSG00000228775	0.58392
ENSG00000273552	0.084158
ENSG00000092871	66.7694
ENSG00000143627	1435.2492
ENSG00000248702	0
ENSG00000205746	47.0211
ENSG00000259426	1.238
ENSG00000234943	2.563
ENSG00000213731	0.1544
ENSG00000278135	101.175
ENSG00000266193	0
ENSG00000243164	0
ENSG00000173812	1955.2158
ENSG00000260445	6.2463
ENSG00000281657	3.3605
ENSG00000108602	1.5477
ENSG00000227584	0
ENSG00000189430	0.13788
ENSG00000228802	1.1063
ENSG00000270933	3.216
ENSG00000002330	13.0326
ENSG00000121898	0.083
ENSG00000221836	0
ENSG00000160932	43.759
ENSG00000265028	0
ENSG00000237023	0.15358
ENSG00000253086	0
ENSG00000234377	0.65223
ENSG00000258235	0
ENSG00000274298	0
ENSG00000275516	3.4461
ENSG00000249448	0.033702
ENSG00000139714	1.1603
ENSG00000235689	3.0455
ENSG00000263574	0.12242
ENSG00000006116	0.033738
ENSG00000142751	40.5242
ENSG00000240545	0.55828
ENSG00000072518	29.2233
ENSG00000236907	0.24708
ENSG00000224965	0.16305
ENSG00000115944	305.36
ENSG00000163214	24.5991
ENSG00000268157	0.87892
ENSG00000226419	11.0624
ENSG00000266220	2.402
ENSG00000182712	11.9186
