"Gene.name"	"SRR2153294"	"SRR2153296"	"SRR2153298"	"SRR2153300"	"SRR2153302"	"SRR2153304"	"SRR2153306"	"SRR2153308"	"SRR2153310"	"SRR2153312"	"SRR2153314"	"SRR2153316"	"SRR2153318"	"SRR2153319"	"SRR2153321"
"Dnmt3a"	454.87014	387.37095	514.72262	435.589055673363	504.10814	311.37829	264.30237	357.25773	501.883412	296.04199	304.8220348	435.366165	500.95647	300.37	192.54301
"Dnmt3b"	32.9999851	18.2198	17.000000240651	19.999980644636	17.999967439255	19.999973	13.000000225521	19.99998	10	11.000012278502	12.98340110967	19.99997	30.000000358106	18.00000275017	8
"Dnmt3c"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"Dnmt3l"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Dnpep"	815.828296421	881.687081397	715.7214797467	652.675833006	762.8959827234	576.807852114	1026.445597592	678.87004333	661.07454667	535.756466911	616.126728331	644.8128011455	748.678509862	676.520343618	746.735058555
"Dnph1"	84	145	73.9049	69	99.5719	86	221.992	94.7206	65.9165	71.4822	78	91.978	70.924	62.9891	104.995
"Dntt"	18.00005	61	2	20	9	55	64	79	7	30.00004	20.00002	71	18	42.99997	31.99998
"Dnttip1"	213.865	216.7212	199	185.98911702	247	152.99993	329.316	156.2129	203.6416	135	137.7231	173.9999	187.0005	139.04493	190.9999
"Dnttip2"	535.84	531.891	418.644	399.935	412.573	359.152	317.901	311.8	318.018	228.929	342.584	305.801	440.172	338.922	307.81
"Doc2a"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Doc2b"	5	3	3	0	2	3	4	1	6	2	3	1	4	3	0
"Doc2g"	25.6351	37.7414	25.247	28.6791	29.3575	24.8328	39.2989	16.7245	17.1932	11.2681	35.9496	25.3957	9.28628	40.6677	57.1586
"Dock1"	384.114	312.51662	365.00042	271	293.527124	237.999957	171	236.760393	261.00012	191.0004	195.99991	249.17287	297.9995947	218	107.00003
"Dock10"	192.440718	171.3952	140.711	119.766029974	154.8408	100.30431	71.6866	135.666318	260.066	84.26833	79.45184	136.1417	156.65775	89.26466	61.46514
"Dock11"	43.99998	25.24674	36.000022	17	40	19.99996	7	26.74057	37	9.68006	17.99995	34.99996	36	23.00000274315	15.90671
"Dock2"	81	114.435	101	85	109.0001532	61.8567	50.5163	68.999971	161.858	56.702	43	76	79.3828	40.2069	41.2378
"Dock3"	13.00001	10	11.07344	15.00003	15.00003	7	17	17.00001	8	8	9	12	15.00003	8	9
"Dock4"	949.982	729.704	986.312	656.492	832.46	533.01	202.66084	535.743	836.158	402.6535845	495.657	560.495	739.706	501.255	251.77804
"Dock5"	903.683	758.673	707.183	629.78	569.186	535.174	242.609	436.558	610.353	379	432.661	473.463	704.943	523.827	231.158
"Dock6"	459.3664	486.3347	320.5859	294.68069	434.79094	366.3267	275.53707	266.9037	342.1721	376.824	336.9317	311.6264	409.6897	425.7357	182.83434
"Dock7"	281.05800322869	282.694136	316.74001	234.125800735137	273.07328	178.0075	75.9324	215.344000526199	159.6847	116.55196664	157.25606	179.257261067552	247.3946	176.90524	40.3566000557064
"Dock8"	481.287	583.012	807.312	922.043	533.124	526.935	325.965	649.837	723.818	296.64	263.089	635.298	679.401	287.191	207.362
"Dock9"	426.17155147389	449.30960187155	465.4159	310.7167	416.34165	277.246	92.90989	334.7118	328.409100344864	295.98430748762	279.3664	302.039	420.943900679979	332.8392	78.2818
"Dohh"	399.12362	407.61781	345.21943	310.90854	338.10894	236.64647	592.12153	318.79759	297.89731	163.8292	248.63022	241.78335	310.63121	305.13431	466.2547
"Dok1"	35.4051	15.5773	28	31.000015	25.1941	30	40.4177	12.7637	31.59696	8.98645	24.8396	28.458555	34	26.7667	43.99995
"Dok2"	44.2503	55.7642	29.1778	23	41.2936	21.3222	39	34.1581	55	22.4117	7.85556	50.5	47	22.0733	53.8667
"Dok3"	28.0575	30.67949	21.7899	11.6661	22.57462	24.1592000116398	46.1949	9.0349	59.8025	6.00293	10.6799	27.4644	22.9782	24.5468	80.7369
"Dok4"	27.20300554658	27.136300840713	21.69259266925	24.0550100916	31.16830382487	19.1296039529	34.143200263334	19.72	24.1378117296	19.116500232238	19.0376	29.78150471088	28.30170418749	17.0819145493	22.16680179772
"Dok5"	12.4305	18.7638	12.999	20.8234	12.9815	14.6657	18.4838	12.0003	7.8418	8.28825	7.30632	10.4152	15.8806	20.6626	22.0003
"Dok6"	2.00074	6.15623	5.32359	5.0036	3.00099	1.00034	0	2.1561	4.00118	2.31948	2.00122	2.00106	3.10972	1.02824	0
"Dok7"	2	1	2	0	10	2	3	1	2	2	6	2	3.999996	2	2
"Dolk"	241	217	193	214	213	163	282	182	200	128	144	166	200	147	170
