""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Tmem62"	111.319330961662	-0.488412038385194	0.254262977417668	-1.92089325526499	0.0547451662597616	0.637096607058787
"Tmem63a"	261.969248774408	0.110050374645087	0.168960703920446	0.651337098458728	0.514828905394829	0.998393709878263
"Tmem63b"	1418.62963281659	0.255075020646088	0.108443229617086	2.35215256449627	0.0186651175973432	0.392663370841292
"Tmem63c"	2.57968248461337	-0.776523224873951	1.37114763800429	-0.566330862812253	0.57116888389881	0.998393709878263
"Tmem64"	704.867411854597	-0.145281010132209	0.182572000123185	-0.795746390652372	0.426179457025993	0.998393709878263
"Tmem65"	148.155048201215	0.324998707590065	0.176703052194326	1.83923652452055	0.0658804046779159	0.676324586589944
"Tmem67"	48.7416910599464	-0.559225317013771	0.240603699657239	-2.32425901102284	0.0201116162429006	0.403720033456803
"Tmem68"	152.761120216816	0.161471480086284	0.186518161223189	0.86571451823968	0.386646736359647	0.998393709878263
"Tmem69"	170.631932258447	-0.394398902744081	0.152806276320005	-2.58103863429101	0.00985035574589296	0.28948035704492
"Tmem70"	619.278270384145	-0.148380778810218	0.141430557182054	-1.049142291218	0.294112634190408	0.984636290610748
"Tmem71"	30.0386054784399	0.120987014650673	0.337103375865879	0.358901818588755	0.719668539110223	0.998393709878263
"Tmem72"	971.415865306722	0.24907355659	0.377334724678507	0.660086496948335	0.509198323447402	0.998393709878263
"Tmem74"	0.552412618851137	-0.000722064414476555	2.23236710765656	-0.000323452362292932	0.999741922358471	
"Tmem74b"	0.286532837162153	0.500152932808665	3.76664892787526	0.132784589800037	0.894363741988223	
"Tmem74bos"	0.316066846197299	1.20052171828773	3.07822563818566	0.390004456916723	0.696533251239903	
"Tmem79"	26.657041813095	-0.460190948930872	0.324080894155761	-1.41998790187765	0.155611203188656	0.873841668205219
"Tmem8"	394.051929610437	-0.288471359452308	0.123583503758174	-2.33422221154033	0.0195840894405666	0.399144988403425
"Tmem80"	91.9006215608643	-0.0963303287283204	0.209170024428458	-0.460536011273775	0.64513152946269	0.998393709878263
"Tmem81"	33.9434067710966	-0.00802025319797603	0.333188441738854	-0.0240712227474629	0.980795797589936	0.998519777358257
"Tmem82"	171.925976319157	-0.234996414349704	0.328211721007405	-0.715990317556032	0.47399732758608	0.998393709878263
"Tmem86a"	245.109030809982	-0.97304835403926	0.274564630114648	-3.54396833136501	0.000394152586561529	0.0444300923344049
"Tmem86b"	672.289552540517	-0.339339384328212	0.308858330029735	-1.09868943568899	0.27190355209969	0.976846530449017
"Tmem87a"	139.081848618683	0.0828650661595576	0.17571502611631	0.471587820296639	0.637221021987177	0.998393709878263
"Tmem87b"	573.450800083745	0.267969438685072	0.134004695784669	1.99970185459522	0.0455324678135081	0.595212117162487
"Tmem88"	47.5934148360409	0.290240669215961	0.297208651192948	0.976555251844052	0.32878938173012	0.989541918232323
"Tmem88b"	69.4983734419907	0.241303948933298	0.283633573969048	0.850759469538788	0.394902980439122	0.998393709878263
"Tmem89"	0.0569587440600846	0.50015743145068	4.54296773429414	0.110094867651177	0.912334138436631	
"Tmem8b"	32.7973467001491	0.107133495474958	0.362477840946053	0.295558744212733	0.767567083996128	0.998393709878263
