"Gene.name"	"SRR2153294"	"SRR2153296"	"SRR2153298"	"SRR2153300"	"SRR2153302"	"SRR2153304"	"SRR2153306"	"SRR2153308"	"SRR2153310"	"SRR2153312"	"SRR2153314"	"SRR2153316"	"SRR2153318"	"SRR2153319"	"SRR2153321"
"Cpa3"	0.0543592	0.0875324	0	0.0671008	0.139382	0	0.0424013	0	0	0.0850325	0	0	0.0991581	0	0
"Cpa4"	0	0	0	0	0.0286114	0	0	0	0	0	0	0	0	0	0
"Cpa5"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cpa6"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cpb1"	0.273147	0.109468	0.210097	0.0676157	0.17384	0.226927	0.0848475	0.0975828	0.0977012	0.12761	0.363231	0.244321	0.173613	0.205292	0.103768
"Cpb2"	241.114	246.776	197.693	214.147	215.573	225.233	164.914	230.429	213.217	242.356	225.44	226.739	210.139	214.733	211.833
"Cpd"	6.25968	5.80068	6.76374	5.10189	7.28019	6.89878	2.04527	6.41392	6.32098	6.42358	5.24417	6.11902	7.4096	5.3534	2.40747
"Cpe"	0.802102	1.27696	0.721343	0.36859	3.5975	0.592923	0.85912	0.479765	0.759985	0.424327	0.719866	0.536546	0.482185	0.53415	0.569734
"Cpeb1"	3.862609	2.822538	5.268205	3.952166	5.4148	3.175538	2.7537867	2.5844347914	4.00892	3.42146502468	2.29757	4.412288	2.847907	2.97342	1.8113577
"Cpeb2"	10.210022	11.68109	10.411021	7.703781	10.401734855	9.89751	2.2101000082667	12.167285	9.367150603041	5.646562	7.366963	14.3245	10.95475022	10.473327	4.389112884828
"Cpeb3"	3.74255	4.0294948	4.1475546	3.0214102005113	3.016915	3.0412074	1.6902752	5.58937120116038	4.2146076	3.4378404	3.80798588	4.9985654	4.927831952226	4.5820232	1.89646100298806
"Cpeb4"	12.60201	9.52429	13.03912	15.01562	12.68417	10.38283	3.370631	15.20004	11.3021	10.68801	16.86243	16.01209	13.69464	10.01847	4.11795
"Cped1"	11.900698	12.53399	13.441214	14.2179	13.444947	12.386174	3.86900338	14.1997096	12.631737	11.7197	12.501546	14.87412	14.21272	11.898135	4.6908
"Cphx1"	0	1.7204	0.84748	0.769534	0.491389	1.08391	0.0113069	0.418507	1.45381	1.5117	1.35511	1.05343	1.45766	1.76142	1.78349
"Cphx2"	4.03858e-05	0	0	0	0.835207	0	0.938199	0.289603	0	0	0	0	0	0	0
"Cphx3"	1.39721198851	0.0774605	0.0355546	0.0387315	0.0565034	0.0472368	0.042277605	0.0348741	0.0753922	0.0744495	0.0779182	0.0434801	0.0593529	0.102388	0.064261
"Cplane1"	0.75264	0.564201	0.840575	0.785467	0.911749	0.839558	0.31354	0.614958	0.859581	0.733857	0.877209	0.832425	0.68471	0.852841	0.350065
"Cplane2"	0.764661	0.275846	0	0.383289	0.18175	0.204239	0	0.360331	0.20304	0.133984	0.340954	0.0961921	0.0781208	0.642173	0
"Cplx1"	0	0	0.0377147	0	0	0	0	0	0	0	0	0	0	0	0
"Cplx2"	0.495197	0.249011	0.419304	0.557808	0.466017	0.386266	0.298055	0.381983	0.746679	0.41378	0.156389	0.246856	0.457161	0.415518	0.195625
"Cplx3"	0	0.02074	0	0.236061	0	0	0	0	0	0	0	0.0289295	0	0	0
"Cplx4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
