"Gene.name"	"SRR2153293"	"SRR2153295"	"SRR2153297"	"SRR2153299"	"SRR2153301"	"SRR2153303"	"SRR2153305"	"SRR2153307"	"SRR2153309"	"SRR2153311"	"SRR2153313"	"SRR2153315"	"SRR2153317"	"SRR2153320"
"Cyp2j5"	0.812577	0.726143	0.947434	0.930268	0.657005	0.591758	0.988064	0.441321	0.284995	0.979248	0.705669	0.551168	0.551031	0.52163
"Cyp2j6"	1.42264	1.4832	2.18342	1.51236	1.3687	2.04668	1.48962	2.51113	1.36137	1.50738	1.70583	1.71742	1.3935	0.969962
"Cyp2j7"	0	0	0	0	0	0	0	0	0	0.20708	0	0	0	0
"Cyp2j8"	0	0.0605084	0	0	0.0552449	0	0	0	0.0514545	0.484274	0	0.0639712	0	0.0498588
"Cyp2j9"	0.947277	1.22858	1.43107	1.18483	1.14212	0.820615	0.964525	1.51861	0.515081	1.01393	0.682654	1.33097	1.13233	0.751183
"Cyp2r1"	0.183452	0.0562932	0	0.0421328	0	0.0441434	0	0.129153	0.0695628	0.125811	0	0	0.108552	0
"Cyp2s1"	0.140675	0.0157166	0.0515963	0.3300147	0.190288	0.3739341	0	0.2188307	0.0534598	0.1934689	0.105118	0.0664642	0.0620178	0.124317
"Cyp2t4"	0.203132	0.305522	0.148983	0.0539857	0.165735	0.113124	0.123501	0.202565	0.257273	0.069182	0.309609	0	0.179075	0.0997177
"Cyp2u1"	0.957834	0.8960476	0.816432	2.112924	1.09678	0.769608	0.889544	0.349314	1.079934	1.407722	0.8099	0.631958	0.504544	0.708946
"Cyp2w1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cyp39a1"	3.602868	5.03078	3.983272	2.584141	5.241117	3.607994	2.672189	5.03872	3.878055	3.569549	2.316767	2.918614	3.823223	3.370569
"Cyp3a11"	2.56393	2.32742	4.61705	2.82021	2.55109	2.54225	2.16714	1.35854	1.39313	2.12874	1.20434	1.02407	2.3889	1.68582
"Cyp3a13"	0.585039	0.304972	0.548274	0.388708	0.238665	0.380107	0.355693	0.317743	0.172892	0.564542	0.259015	0.21495	0.487098	0.40686
"Cyp3a16"	0	0	0	0.0487636	0	0	0	0	0	0	0	0	0	0
"Cyp3a25"	0.797773	1.21071	1.50434	1.33933	1.02984	2.46793	1.62728	0.712875	0.0760666	0.889482	0.602241	0.898247	0	1.05716
"Cyp3a41a"	0	0.0414242	0	0.0422066	0	0	0	0	0	7.21958e-05	0	0	0	0
"Cyp3a41b"	0	0.0026457	0	8.27699e-10	0	0	0	0	0.0373364	6.2345e-06	0	0	0	0
"Cyp3a44"	0	0	0	0	0	0	0	0	0	0.0528986	0	0	0	0.0398581
"Cyp3a57"	0	0	0	0.0810615	0	0	0	0	0	0.186302	0	0	0	0.0380583
"Cyp3a59"	0	0.181545	0.242161	0	0.00207698	0.0566682	0	0.0539486	0	0	7.14006e-05	0	0	0
"Cyp46a1"	0.301845	0.309717	0.321958	0.630928	0	0.0992853	0.212257	0.514791	0.21224	0.190242	0.0664036	0.160464	0.328288	0.0342763
"Cyp4a10"	1.39372	1.63766	3.85814	2.87586	1.94334	1.869260371122	2.30307	1.02291	0.899118	1.2219	1.23285	1.05161	2.31693	1.80442
"Cyp4a12a"	0.1509	2.81171e-09	0	0	0	0.0672287	0.0548801	0	0.122316	0.205572	0.0533032	0.0380177	0	0.0592615
"Cyp4a12b"	0	0.0181989	0	0.0974227	0	0	0.0558862	0	0	0	0.108341	0	0	0
"Cyp4a14"	3.33064	2.22792	5.91826	4.5035	3.40079	3.02629	3.84421	1.77718	1.53933	2.54044	2.01785	1.76657	3.357	3.84371
"Cyp4a29"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cyp4a30b"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cyp4a31"	0.0346194	0.0580705	0.1540383	0.086859	0.069229400398642	0.0732587	0	0.0773982	0.1937538	0.0432235	0	0.2408857	0	0.0629875
"Cyp4a32"	0.357372	0.193031	0.137525	0.20134	0	0	0	0.149679	0.11393	0.127088	0.10222	0	0.140253	0.106793
