"Gene.name"	"SRR2153293"	"SRR2153295"	"SRR2153297"	"SRR2153299"	"SRR2153301"	"SRR2153303"	"SRR2153305"	"SRR2153307"	"SRR2153309"	"SRR2153311"	"SRR2153313"	"SRR2153315"	"SRR2153317"	"SRR2153320"
"Tfap2a"	4	5.0104	5.034460205613	1.02097	2.80041	5.01523	6.01155	9.54556	3.004796	9.024798673	1.00341	3.03022	3.00662	3.016914
"Tfap2b"	0	0	0	0	0	0	0	2.00004456	0	12.6766	0	1.00405	0	0
"Tfap2c"	0	0	2	0	0	0	0	0	0	0	0	0	0	0
"Tfap2d"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Tfap2e"	0	0	0	0	0	0	2	0	0	1	0	0	0	0
"Tfap4"	138.1834853	192.1104	116.16066	107.182	62.0194	105.0293	99.00719	172.1358	96.1776	135.0386	87.0225	108.0292	119.0711	118.14914
"Tfb1m"	80.8071	132.363	104.255	70.8621	105	89.6958	64.7865	80.73	95.9304	98.6568	72.8919	64.758	104.792	97.7019
"Tfb2m"	1049.84	1582.07	1052.58	632.506	809.641	993.7	839.049	1012.76	682.339	822.094	780.975	834.202	840.998	897.735
"Tfcp2"	125.99094	279.32414	162.16641	106.59	123.441	171.11241	110.87854	150.003670076047	163.25865	124.851	110.749174961	117.42421	152.48632	141.45279472
"Tfcp2l1"	712.086	1021.98	569.769	236.727	256.133	535.588	548.902	467.303	129.149	748.123	573.532	927.618	443.612	515.137
"Tfdp1"	592.0285	969.08885	594.4098	544.90807167	582.5103	485.47189	521.58900133579	630.22810194168	502.25731	495.875	499.53933	640.38188	652.85974	563.55757
"Tfdp2"	1115.123022431	1819.6756644	884.978317916	727.98286	781.9381409	1037.98396002588	842.47533	1080.979244	562.00044	837.974187855	901.935515	1167.94085261814	799.29756	1140.93056
"Tfe3"	76.61238764	201.305722388391	126.086832190277	152.22700047382	141.149500151923	132.208477614324	132.468690106933	145.382483101637	145.801460067701	120.6578559	93.703916937671	119.016760799426	131.566880778659	155.683641067138
"Tfeb"	869.5461948204	1823.89642	1062.3162702	2000.760967	867.349801443	736.60527021	850.77514	987.1146666	1479.534752173	638.977140211649	791.4166652596	812.96096683448	1006.19131275942	975.28943
"Tfec"	1	0	0	0	3.70038	0	1	3.77131	6	0	0	0	2.9263	0
"Tff1"	0	0	0	1	0	0	0	0	0	0	0	0	0	1
"Tff2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Tff3"	0	0	0	1	0	0	0	0	0	0	1	0	0	0
"Tfg"	795.9996	1316.3097	835.999948	702.99986	638.00047	676.00031099	567.00035	749.99957	633.99998	608	548.6356	656.0002	729.99974	787.0004
"Tfip11"	285.862	586.64247	336.9215	340.256	279.642	306.76337	265.00591	294.625	295.302	291.721	254.049	277.67882	286.11643	268.905
"Tfpi"	83.8291137	111.99996	60.8096011751	51.29309	56.88114	63.651358772	50.99998	88.9999888	85.99991	52.99994	50.9999	45.5042494067	78.059310563539	44.63755
"Tfpi2"	4	14	7	10	5	6	4	1	15.00003	1	1	5	5	3.000004
"Tfpt"	106.019267	209.674	136.21524	246.9995	125.673	100.1561	106.0808	131.5294	204.7967	88	104.1605	100.295048676454	114	140
